Год рождения,Пол,Образование,Семейное положение,Доля сбережений,Инвестиционная цель,Срок инвестирования,Реакция на падение 15%,Реакция на рост 20%,Доля в рискованный проект,Выбор между А и Б,Инвестиционный опыт,Грамотность Q1,Грамотность  Q2,Грамотность Q3,Грамотность Q4,Грамотность Q5,Стадный Q1,Стадный Q2,Стадный Q3,Стадный Q4,Стадный Q5,Стадный Q6,Частота проверки портфеля,Финтех-инструменты,Решения под push-уведомлениями,Автоинвестирование,Импульсивные сделки
2001-2008,Женский,Высшее (не финансово-экономическое),Не замужем/ не женат,1-5%,Активный рост капитала (готов(а) к колебаниям),1-3 года,"Докуплю активы, так как они стали дешевле","Оставлю всё как есть, продолжая держать",более 30%,Однозначно вариант А (гарантированный доход),Акции,Больше 110 000 рублей,"Меньше, чем сегодня",Затрудняюсь ответить,Затрудняюсь ответить,Распределение инвестиций между разными активами для снижения риска,4,3,2,3,5,2,Раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)",Я отключил(а) push-уведомления / не получаю их,Не знаю о такой возможности,"Нет, никогда"
2001-2008,Мужской,Высшее (не финансово-экономическое),Не замужем/ не женат,16-25%,Активный рост капитала (готов(а) к колебаниям),более 10 лет,"Докуплю активы, так как они стали дешевле","Зафиксирую часть прибыли, остальное оставлю",менее 5%,"Скорее вариант Б, понимая риски","Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Производные финансовые инструменты (фьючерсы, опционы…), Криптовалюта",Затрудняюсь ответить,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Покупка активов только одной компании для лучшего контроля,3,1,2,3,4,3,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Нет, никогда",Да,"Да, часто"
1982-2000,Женский,Высшее (не финансово-экономическое),Замужем/ женат без детей,11-15%,"Стабильный, но небольшой рост капитала",1-3 года,"Продам часть, переведу в более надежные инструменты","Зафиксирую часть прибыли, остальное оставлю",0% (это не для меня),Затрудняюсь выбрать / мне нужно больше информации,"Банковские вклады, накопительные счета, Инвестиционные паи, Структурные ноты, Производные финансовые инструменты (фьючерсы, опционы…)",Больше 110 000 рублей,"Больше, чем сегодня",Неверно,Цена облигации не меняется,Стратегия быстрой покупки и продажи активов,3,3,2,2,2,3,Несколько раз в неделю,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Да, иногда (несколько раз в год)",Нет,"Да, иногда"
2001-2008,Мужской,Среднее общее/ среднее-профессиональное,Не замужем/ не женат,6-10%,Активный рост капитала (готов(а) к колебаниям),3-5 лет,"Ничего не буду делать, подожду восстановления","Доложу еще средств, так как стратегия работает",16-30%,Затрудняюсь выбрать / мне нужно больше информации,"Банковские вклады, накопительные счета, Облигации, Акции, Производные финансовые инструменты (фьючерсы, опционы…), Криптовалюта",Ровно 110 000 рублей,"Меньше, чем сегодня",Верно,Затрудняюсь ответить,Затрудняюсь ответить,3,3,3,3,2,3,Не пользуюсь мобильными приложениями для инвестиций,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Да, был один-два случая",Да,"Да, иногда"
2001-2008,Мужской,Высшее (не финансово-экономическое),Не замужем/ не женат,6-10%,Сбалансированный рост и доходность,3-5 лет,"Докуплю активы, так как они стали дешевле","Доложу еще средств, так как стратегия работает",16-30%,"Скорее вариант Б, понимая риски",Криптовалюта,Больше 110 000 рублей,"Больше, чем сегодня",Верно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,4,3,1,3,3,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа",Я отключил(а) push-уведомления / не получаю их,Не знаю о такой возможности,"Нет, никогда"
2001-2008,Женский,Высшее (не финансово-экономическое),Не замужем/ не женат,11-15%,Активный рост капитала (готов(а) к колебаниям),5-10 лет,"Продам все активы, чтобы избежать дальнейших потерь","Доложу еще средств, так как стратегия работает",менее 5%,Затрудняюсь выбрать / мне нужно больше информации,"Банковские вклады, накопительные счета, Криптовалюта",Ровно 110 000 рублей,"Меньше, чем сегодня",Верно,Затрудняюсь ответить,Распределение инвестиций между разными активами для снижения риска,4,2,3,5,5,3,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Да, регулярно (несколько раз в месяц)",Да,"Да, иногда"
1982-2000,Мужской,Высшее (не финансово-экономическое),Замужем/ женат с детьми,16-25%,"Сохранения капитала, защита от инфляции (минимальный риск)",5-10 лет,"Ничего не буду делать, подожду восстановления",Зафиксирую всю прибыль и переведу деньги в надежные активы,менее 5%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета, Облигации, Производные финансовые инструменты (фьючерсы, опционы…)",Больше 110 000 рублей,"Меньше, чем сегодня",Верно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,2,1,2,2,3,Несколько раз в неделю,"Робо-эдвайзинг (автоматические рекомендации), P2P-платформы (кредитование физических лиц)","Нет, никогда",Нет,"Да, иногда"
1982-2000,Мужской,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Не замужем/ не женат,6-10%,Сбалансированный рост и доходность,более 10 лет,"Продам часть, переведу в более надежные инструменты","Зафиксирую часть прибыли, остальное оставлю",0% (это не для меня),Однозначно вариант А (гарантированный доход),"Накопительное/инвестиционное страхование жизни, Акции",Больше 110 000 рублей,"Меньше, чем сегодня",Верно,Затрудняюсь ответить,Распределение инвестиций между разными активами для снижения риска,2,4,2,2,3,3,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)",Я отключил(а) push-уведомления / не получаю их,Нет,"Нет, никогда"
2001-2008,Женский,Среднее общее/ среднее-профессиональное,Не замужем/ не женат,16-25%,Активный рост капитала (готов(а) к колебаниям),более 10 лет,"Продам часть, переведу в более надежные инструменты","Зафиксирую часть прибыли, остальное оставлю",16-30%,Однозначно вариант Б (максимальная доходность),"Банковские вклады, накопительные счета, Облигации, Акции, Криптовалюта",Больше 110 000 рублей,"Меньше, чем сегодня",Верно,Цена облигации не меняется,Затрудняюсь ответить,5,3,4,1,2,2,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа","Да, иногда (несколько раз в год)",Да,"Да, иногда"
1982-2000,Женский,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Замужем/ женат с детьми,11-15%,Сбалансированный рост и доходность,1-3 года,"Продам часть, переведу в более надежные инструменты","Оставлю всё как есть, продолжая держать",5-15%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета, Накопительное/инвестиционное страхование жизни, Инвестиционные паи, Доверительное управление, Облигации, Акции",Меньше 110 000 рублей,"Меньше, чем сегодня",Верно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,2,2,3,1,3,2,Раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Нет, никогда",Нет,"Да, иногда"
1982-2000,Женский,Высшее (не финансово-экономическое),Замужем/ женат с детьми,25%+,"Сохранения капитала, защита от инфляции (минимальный риск)",5-10 лет,"Ничего не буду делать, подожду восстановления","Зафиксирую часть прибыли, остальное оставлю",менее 5%,"Скорее вариант Б, понимая риски","Банковские вклады, накопительные счета, Производные финансовые инструменты (фьючерсы, опционы…)",Больше 110 000 рублей,"Больше, чем сегодня",Неверно,Затрудняюсь ответить,Распределение инвестиций между разными активами для снижения риска,3,3,1,3,3,1,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Нет, никогда",Нет,"Нет, никогда"
1982-2000,Мужской,Высшее (не финансово-экономическое),Замужем/ женат без детей,6-10%,Сбалансированный рост и доходность,5-10 лет,"Продам все активы, чтобы избежать дальнейших потерь","Зафиксирую часть прибыли, остальное оставлю",0% (это не для меня),Однозначно вариант А (гарантированный доход),"Драгоценные металлы (золото, серебро), Инвестиционные паи, Акции",Затрудняюсь ответить,"Меньше, чем сегодня",Затрудняюсь ответить,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,4,2,2,2,3,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Да, был один-два случая",Нет,"Нет, никогда"
2001-2008,Женский,Высшее (не финансово-экономическое),Не замужем/ не женат,16-25%,Сбалансированный рост и доходность,1-3 года,"Ничего не буду делать, подожду восстановления","Оставлю всё как есть, продолжая держать",16-30%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Накопительное/инвестиционное страхование жизни, Облигации, Акции, Криптовалюта, Форекс",Больше 110 000 рублей,Столько же,Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,4,3,4,5,3,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа","Да, регулярно (несколько раз в месяц)",Нет,"Да, часто"
2001-2008,Мужской,Высшее (не финансово-экономическое),Не замужем/ не женат,11-15%,Максимальная доходность (готов(а) к высоким рискам),3-5 лет,"Докуплю активы, так как они стали дешевле","Доложу еще средств, так как стратегия работает",5-15%,Однозначно вариант Б (максимальная доходность),"Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Инвестиционные паи, Облигации, Акции",Ровно 110 000 рублей,"Меньше, чем сегодня",Затрудняюсь ответить,Затрудняюсь ответить,Покупка активов только одной компании для лучшего контроля,3,3,4,5,4,3,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа","Да, иногда (несколько раз в год)",Нет,"Нет, никогда"
2001-2008,Женский,Высшее (не финансово-экономическое),Не замужем/ не женат,11-15%,Активный рост капитала (готов(а) к колебаниям),более 10 лет,"Продам все активы, чтобы избежать дальнейших потерь","Доложу еще средств, так как стратегия работает",5-15%,Затрудняюсь выбрать / мне нужно больше информации,"Банковские вклады, накопительные счета, Акции, Криптовалюта, Форекс",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Стратегия быстрой покупки и продажи активов,3,3,2,5,3,5,Несколько раз в неделю,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа","Да, иногда (несколько раз в год)",Да,"Да, иногда"
1982-2000,Женский,Высшее (не финансово-экономическое),Замужем/ женат с детьми,11-15%,"Стабильный, но небольшой рост капитала",5-10 лет,"Ничего не буду делать, подожду восстановления","Зафиксирую часть прибыли, остальное оставлю",0% (это не для меня),"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета, Акции",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно растет,Распределение инвестиций между разными активами для снижения риска,2,3,1,2,2,2,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), P2P-платформы (кредитование физических лиц)",Я отключил(а) push-уведомления / не получаю их,Нет,"Нет, никогда"
2001-2008,Мужской,Высшее (не финансово-экономическое),Не замужем/ не женат,11-15%,Активный рост капитала (готов(а) к колебаниям),5-10 лет,"Продам часть, переведу в более надежные инструменты","Оставлю всё как есть, продолжая держать",16-30%,Однозначно вариант Б (максимальная доходность),Акции,Больше 110 000 рублей,"Меньше, чем сегодня",Верно,Цена облигации обычно падает,Покупка активов только одной компании для лучшего контроля,5,5,5,3,4,2,Несколько раз в неделю,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа","Да, регулярно (несколько раз в месяц)",Нет,"Да, иногда"
1982-2000,Женский,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Замужем/ женат с детьми,11-15%,Сбалансированный рост и доходность,1-3 года,"Ничего не буду делать, подожду восстановления",Зафиксирую всю прибыль и переведу деньги в надежные активы,менее 5%,Однозначно вариант Б (максимальная доходность),"Банковские вклады, накопительные счета, Накопительное/инвестиционное страхование жизни, Инвестиционные паи, Облигации, Акции, Форекс",Больше 110 000 рублей,"Меньше, чем сегодня",Затрудняюсь ответить,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,2,1,3,4,1,Раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Да, был один-два случая",Нет,"Нет, никогда"
2001-2008,Мужской,Среднее общее/ среднее-профессиональное,Не замужем/ не женат,1-5%,"Стабильный, но небольшой рост капитала",более 10 лет,"Ничего не буду делать, подожду восстановления","Оставлю всё как есть, продолжая держать",менее 5%,Затрудняюсь выбрать / мне нужно больше информации,"Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Акции, Производные финансовые инструменты (фьючерсы, опционы…), Криптовалюта",Затрудняюсь ответить,"Меньше, чем сегодня",Затрудняюсь ответить,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,4,3,4,3,5,2,Раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Краудфандинговые платформы","Да, регулярно (несколько раз в месяц)",Нет,"Да, иногда"
1982-2000,Мужской,Высшее (не финансово-экономическое),Замужем/ женат с детьми,6-10%,Сбалансированный рост и доходность,1-3 года,"Продам часть, переведу в более надежные инструменты","Зафиксирую часть прибыли, остальное оставлю",5-15%,Затрудняюсь выбрать / мне нужно больше информации,"Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Накопительное/инвестиционное страхование жизни, Облигации, Криптовалюта",Больше 110 000 рублей,"Меньше, чем сегодня",Верно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,3,1,3,4,2,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Нет, никогда",Нет,"Да, иногда"
2001-2008,Женский,Высшее (не финансово-экономическое),Не замужем/ не женат,16-25%,"Сохранения капитала, защита от инфляции (минимальный риск)",3-5 лет,"Ничего не буду делать, подожду восстановления","Доложу еще средств, так как стратегия работает",0% (это не для меня),"Скорее вариант Б, понимая риски","Акции, Криптовалюта, Форекс",Ровно 110 000 рублей,"Меньше, чем сегодня",Затрудняюсь ответить,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,4,3,3,2,3,3,Раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа","Нет, никогда",Не знаю о такой возможности,"Нет, никогда"
1982-2000,Мужской,Высшее (не финансово-экономическое),Замужем/ женат без детей,1-5%,"Стабильный, но небольшой рост капитала",1-3 года,"Продам часть, переведу в более надежные инструменты","Зафиксирую часть прибыли, остальное оставлю",менее 5%,Затрудняюсь выбрать / мне нужно больше информации,"Банковские вклады, накопительные счета, Накопительное/инвестиционное страхование жизни, Облигации, Акции",Ровно 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно растет,Распределение инвестиций между разными активами для снижения риска,3,2,2,1,4,1,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Нет, никогда",Да,"Нет, никогда"
1982-2000,Мужской,Высшее (не финансово-экономическое),Замужем/ женат без детей,11-15%,Сбалансированный рост и доходность,3-5 лет,"Продам часть, переведу в более надежные инструменты","Доложу еще средств, так как стратегия работает",менее 5%,"Скорее вариант Б, понимая риски","Банковские вклады, накопительные счета, Накопительное/инвестиционное страхование жизни, Облигации, Акции, Структурные ноты, Криптовалюта, Форекс",Ровно 110 000 рублей,"Меньше, чем сегодня",Верно,Цена облигации не меняется,Затрудняюсь ответить,1,1,3,1,2,1,Несколько раз в неделю,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Да, иногда (несколько раз в год)",Нет,"Да, иногда"
2001-2008,Мужской,Высшее (не финансово-экономическое),Не замужем/ не женат,11-15%,Активный рост капитала (готов(а) к колебаниям),5-10 лет,"Докуплю активы, так как они стали дешевле","Зафиксирую часть прибыли, остальное оставлю",16-30%,"Скорее вариант Б, понимая риски","Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Инвестиционные паи, Акции, Производные финансовые инструменты (фьючерсы, опционы…)",Больше 110 000 рублей,"Меньше, чем сегодня",Верно,Цена облигации не меняется,Затрудняюсь ответить,3,4,3,3,3,2,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Нет, никогда",Да,"Да, иногда"
1982-2000,Мужской,Среднее общее/ среднее-профессиональное,Замужем/ женат без детей,1-5%,"Стабильный, но небольшой рост капитала",более 10 лет,"Докуплю активы, так как они стали дешевле","Зафиксирую часть прибыли, остальное оставлю",5-15%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Акции, Производные финансовые инструменты (фьючерсы, опционы…)",Ровно 110 000 рублей,"Меньше, чем сегодня",Неверно,Затрудняюсь ответить,Распределение инвестиций между разными активами для снижения риска,3,2,2,3,1,1,Раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Нет, никогда",Нет,"Нет, никогда"
1982-2000,Мужской,Высшее (не финансово-экономическое),Замужем/ женат без детей,11-15%,Сбалансированный рост и доходность,5-10 лет,"Ничего не буду делать, подожду восстановления","Оставлю всё как есть, продолжая держать",16-30%,Однозначно вариант А (гарантированный доход),"Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Акции, Криптовалюта",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Затрудняюсь ответить,Распределение инвестиций между разными активами для снижения риска,4,3,2,1,2,2,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)",Я отключил(а) push-уведомления / не получаю их,Нет,"Нет, никогда"
1982-2000,Женский,Высшее (не финансово-экономическое),Замужем/ женат без детей,16-25%,Сбалансированный рост и доходность,более 10 лет,"Ничего не буду делать, подожду восстановления","Оставлю всё как есть, продолжая держать",5-15%,"Скорее вариант Б, понимая риски","Банковские вклады, накопительные счета, Инвестиционные паи, Акции",Больше 110 000 рублей,"Меньше, чем сегодня",Верно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,2,2,1,3,3,4,Раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)",Я отключил(а) push-уведомления / не получаю их,Да,"Нет, никогда"
2001-2008,Женский,Среднее общее/ среднее-профессиональное,Замужем/ женат без детей,25%+,Максимальная доходность (готов(а) к высоким рискам),1-3 года,"Докуплю активы, так как они стали дешевле","Оставлю всё как есть, продолжая держать",5-15%,"Скорее вариант Б, понимая риски","Инвестиционные паи, Акции, Криптовалюта",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,4,3,3,2,4,4,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Робо-эдвайзинг (автоматические рекомендации)","Да, иногда (несколько раз в год)",Нет,"Да, часто"
1982-2000,Мужской,Высшее (не финансово-экономическое),Замужем/ женат с детьми,25%+,"Сохранения капитала, защита от инфляции (минимальный риск)",5-10 лет,"Докуплю активы, так как они стали дешевле","Зафиксирую часть прибыли, остальное оставлю",5-15%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета, Накопительное/инвестиционное страхование жизни, Облигации",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Затрудняюсь ответить,Распределение инвестиций между разными активами для снижения риска,3,3,4,2,4,3,Раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа","Нет, никогда",Нет,"Нет, никогда"
2001-2008,Мужской,Среднее общее/ среднее-профессиональное,Не замужем/ не женат,1-5%,Активный рост капитала (готов(а) к колебаниям),более 10 лет,"Продам часть, переведу в более надежные инструменты","Оставлю всё как есть, продолжая держать",0% (это не для меня),"Скорее вариант Б, понимая риски","Банковские вклады, накопительные счета, Облигации",Больше 110 000 рублей,Затрудняюсь ответить,Верно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,2,2,5,5,5,2,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа","Нет, никогда",Да,"Да, иногда"
2001-2008,Женский,Высшее (не финансово-экономическое),Не замужем/ не женат,16-25%,Активный рост капитала (готов(а) к колебаниям),5-10 лет,"Ничего не буду делать, подожду восстановления","Зафиксирую часть прибыли, остальное оставлю",более 30%,"Скорее вариант Б, понимая риски","Акции, Производные финансовые инструменты (фьючерсы, опционы…), Криптовалюта",Больше 110 000 рублей,Столько же,Затрудняюсь ответить,Цена облигации не меняется,Стратегия быстрой покупки и продажи активов,5,4,3,4,2,4,Несколько раз в неделю,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа, Робо-эдвайзинг (автоматические рекомендации)",Я отключил(а) push-уведомления / не получаю их,Да,"Да, иногда"
1982-2000,Мужской,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Замужем/ женат с детьми,16-25%,Сбалансированный рост и доходность,5-10 лет,"Продам часть, переведу в более надежные инструменты",Зафиксирую всю прибыль и переведу деньги в надежные активы,5-15%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета, Накопительное/инвестиционное страхование жизни, Акции, Структурные ноты",Затрудняюсь ответить,"Меньше, чем сегодня",Неверно,Цена облигации не меняется,Распределение инвестиций между разными активами для снижения риска,3,2,3,4,3,2,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Да, был один-два случая",Нет,"Нет, никогда"
2001-2008,Мужской,Среднее общее/ среднее-профессиональное,Не замужем/ не женат,16-25%,Максимальная доходность (готов(а) к высоким рискам),более 10 лет,"Докуплю активы, так как они стали дешевле","Доложу еще средств, так как стратегия работает",более 30%,Однозначно вариант Б (максимальная доходность),"Банковские вклады, накопительные счета, Облигации, Акции, Структурные ноты, Форекс",Больше 110 000 рублей,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Распределение инвестиций между разными активами для снижения риска,3,2,2,3,3,4,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Да, был один-два случая",Нет,"Да, иногда"
2001-2008,Мужской,Высшее (не финансово-экономическое),Не замужем/ не женат,16-25%,Максимальная доходность (готов(а) к высоким рискам),5-10 лет,"Продам часть, переведу в более надежные инструменты","Оставлю всё как есть, продолжая держать",16-30%,Однозначно вариант Б (максимальная доходность),"Банковские вклады, накопительные счета, Облигации, Акции, Криптовалюта",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,4,5,3,4,4,4,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа","Да, регулярно (несколько раз в месяц)",Нет,"Нет, никогда"
1982-2000,Мужской,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Замужем/ женат с детьми,25%+,Активный рост капитала (готов(а) к колебаниям),3-5 лет,"Ничего не буду делать, подожду восстановления","Зафиксирую часть прибыли, остальное оставлю",0% (это не для меня),"Скорее вариант Б, понимая риски","Банковские вклады, накопительные счета, Производные финансовые инструменты (фьючерсы, опционы…)",Ровно 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,2,3,1,1,3,3,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа","Да, иногда (несколько раз в год)",Не знаю о такой возможности,"Да, иногда"
1982-2000,Мужской,Высшее (не финансово-экономическое),Не замужем/ не женат,11-15%,"Стабильный, но небольшой рост капитала",5-10 лет,"Продам часть, переведу в более надежные инструменты","Зафиксирую часть прибыли, остальное оставлю",5-15%,Однозначно вариант А (гарантированный доход),"Облигации, Акции, Криптовалюта",Затрудняюсь ответить,"Меньше, чем сегодня",Неверно,Затрудняюсь ответить,Распределение инвестиций между разными активами для снижения риска,3,3,2,3,1,3,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Нет, никогда",Нет,"Нет, никогда"
